bank_transaction_id,settlement_id,bank_date,credit_amount,bank_reference,bank_status
BANK900398,SET500398,2026-08-21,4941.0,NEFT-65148727,CREDITED
BANK900399,SET500399,2026-08-23,24705.0,NEFT-46965460,CREDITED
BANK900400,SET500400,2026-08-22,11708.4,NEFT-41887353,CREDITED
BANK900401,SET500401,2026-08-11,4911.5,NEFT-75984013,CREDITED
BANK900402,SET500402,2026-08-07,8099.55,NEFT-91198924,CREDITED
BANK900403,,2026-08-17,11858.4,NEFT-79323646,CREDITED
BANK900404,SET500404,2026-08-25,4941.0,NEFT-28206610,CREDITED
BANK900405,SET500405,2026-08-08,2470.5,NEFT-14438720,CREDITED
BANK900406,SET500406,2026-08-14,8099.55,NEFT-95283260,CREDITED
BANK900407,SET500407,2026-08-10,24705.0,NEFT-88769733,CREDITED
BANK900408,SET500408,2026-08-14,4941.0,NEFT-22132198,CREDITED
BANK900409,SET500409,2026-08-15,74115.0,NEFT-39709238,CREDITED
BANK900410,SET500410,2026-08-11,494.1,NEFT-73632249,CREDITED
BANK900411,SET500411,2026-08-22,4941.0,NEFT-50998106,CREDITED
BANK900412,SET500412,2026-08-15,4791.0,NEFT-79878835,CREDITED
BANK900413,SET500413,2026-08-21,98230.0,NEFT-96884788,CREDITED
BANK900414,SET500414,2026-08-12,442.04,NEFT-53639158,CREDITED
BANK900415,SET500415,2026-08-23,2964.6,NEFT-42252798,CREDITED
BANK900416,SET500416,2026-08-13,494.1,NEFT-49675382,CREDITED
BANK900417,SET500417,2026-08-15,73615.0,NEFT-56059101,CREDITED
BANK900418,SET500418,2026-08-23,49115.0,NEFT-32815223,CREDITED
BANK900419,SET500419,2026-08-12,4941.0,NEFT-85031958,CREDITED
BANK900421,SET500421,2026-08-14,24705.0,NEFT-17204398,CREDITED
BANK900422,SET500422,2026-08-18,98080.0,NEFT-65446317,CREDITED
BANK900423,SET500423,2026-08-07,73672.5,NEFT-52464268,CREDITED
BANK900424,SET500424,2026-08-18,8399.7,NEFT-10632635,CREDITED
BANK900425,,2026-08-09,74115.0,NEFT-21816709,CREDITED
BANK900426,SET500426,2026-08-23,24557.5,NEFT-15063406,CREDITED
BANK900427,SET500427,2026-08-14,49410.0,NEFT-10553491,CREDITED
BANK900428,SET500428,2026-08-14,11858.4,NEFT-51086072,CREDITED
BANK900429,SET500429,2026-08-04,49260.0,NEFT-68205561,CREDITED
BANK900430,SET500430,2026-08-18,1078.76,NEFT-40107903,CREDITED
BANK900431,SET500431,2026-08-03,736.73,NEFT-97314051,CREDITED
BANK900432,SET500432,2026-08-23,74115.0,NEFT-16437132,CREDITED
BANK900433,SET500433,2026-08-04,24557.5,NEFT-83454998,CREDITED
BANK900434,SET500434,2026-08-07,98820.0,NEFT-66488410,CREDITED
BANK900435,SET500435,2026-08-11,1178.76,NEFT-24081350,CREDITED
BANK900436,SET500436,2026-08-12,24705.0,NEFT-36809908,CREDITED
BANK900437,SET500437,2026-08-09,4941.0,NEFT-83569939,CREDITED
BANK900438,SET500438,2026-08-18,494.1,NEFT-24821786,CREDITED
BANK900439,,2026-08-07,741.15,NEFT-23594977,CREDITED
BANK900440,SET500440,2026-08-17,494.1,NEFT-33448079,CREDITED
BANK900441,SET500441,2026-08-14,11858.4,NEFT-22750478,CREDITED
BANK900442,SET500442,2026-08-07,8349.55,NEFT-93457527,CREDITED
BANK900443,SET500443,2026-08-14,486.73,NEFT-46484819,CREDITED
BANK900444,SET500444,2026-08-16,1185.84,NEFT-17871385,CREDITED
BANK900445,SET500445,2026-08-16,74115.0,NEFT-34328380,CREDITED
BANK900446,SET500446,2026-08-14,98820.0,NEFT-74837853,CREDITED
BANK900447,SET500447,2026-08-16,4941.0,NEFT-11658959,CREDITED
BANK900448,SET500448,2026-08-13,74115.0,NEFT-98813650,CREDITED
BANK900449,SET500449,2026-08-14,9358.4,NEFT-92263926,CREDITED
BANK900450,SET500450,2026-08-23,24557.5,NEFT-20048242,CREDITED
BANK900451,SET500451,2026-08-10,49410.0,NEFT-96344588,CREDITED
BANK900453,SET500453,2026-08-13,98820.0,NEFT-64148754,CREDITED
BANK900454,SET500454,2026-08-20,741.15,NEFT-95568918,CREDITED
BANK900455,SET500455,2026-08-23,24557.5,NEFT-39919562,CREDITED
BANK900456,SET500456,2026-08-20,24705.0,NEFT-58760568,CREDITED
BANK900457,SET500457,2026-08-06,-508.85,NEFT-83509785,CREDITED
BANK900458,,2026-08-06,24705.0,NEFT-64923338,CREDITED
BANK900459,SET500459,2026-08-22,11858.4,NEFT-35579048,CREDITED
BANK900460,SET500460,2026-08-16,98820.0,NEFT-70465703,CREDITED
BANK900462,SET500462,2026-08-19,1185.84,NEFT-33306944,CREDITED
BANK900463,SET500463,2026-08-15,4199.85,NEFT-91737749,CREDITED
BANK900464,SET500464,2026-08-15,1185.84,NEFT-90869462,CREDITED
BANK900465,SET500465,2026-08-20,49410.0,NEFT-36962876,CREDITED
BANK900466,SET500466,2026-08-14,98670.0,NEFT-25489430,CREDITED
BANK900467,SET500467,2026-08-21,11858.4,NEFT-81659221,CREDITED
BANK900468,SET500468,2026-08-03,11858.4,NEFT-99959993,CREDITED
BANK900469,SET500469,2026-08-11,4941.0,NEFT-29653285,CREDITED
BANK900470,SET500470,2026-08-09,5849.55,NEFT-85414925,CREDITED
BANK900471,,2026-08-10,4941.0,NEFT-16305532,CREDITED
BANK900472,SET500472,2026-08-16,49260.0,NEFT-37257905,CREDITED
BANK900473,,2026-08-10,98230.0,NEFT-88971743,CREDITED
BANK900474,SET500474,2026-08-09,98820.0,NEFT-33326387,CREDITED
BANK900475,SET500475,2026-08-15,49115.0,NEFT-31599504,CREDITED
BANK900476,SET500476,2026-08-03,1185.84,NEFT-53302669,CREDITED
BANK900477,SET500477,2026-08-23,4761.5,NEFT-19781894,CREDITED
BANK900478,SET500478,2026-08-10,49410.0,NEFT-82890984,CREDITED
BANK900479,SET500479,2026-08-05,2470.5,NEFT-54434998,CREDITED
BANK900480,SET500480,2026-08-09,24705.0,NEFT-97147586,CREDITED
BANK900481,SET500481,2026-08-14,98820.0,NEFT-42725927,CREDITED
BANK900482,SET500482,2026-08-15,4941.0,NEFT-47960665,CREDITED
BANK900483,SET500483,2026-08-14,24557.5,NEFT-49786693,CREDITED
BANK900484,SET500484,2026-08-19,49410.0,NEFT-94145533,CREDITED
BANK900485,SET500485,2026-08-23,98180.0,NEFT-37592422,CREDITED
BANK900486,SET500486,2026-08-23,98820.0,NEFT-71636167,CREDITED
BANK900487,SET500487,2026-08-05,4941.0,NEFT-87170132,CREDITED
BANK900488,SET500488,2026-08-19,11787.6,NEFT-62278055,CREDITED
BANK900489,SET500489,2026-08-03,641.15,NEFT-19742790,CREDITED
BANK900490,,2026-08-12,74115.0,NEFT-68743898,CREDITED
BANK900491,SET500491,2026-08-03,2470.5,NEFT-62478133,CREDITED
BANK900492,,2026-08-23,98230.0,NEFT-84292758,CREDITED
BANK900493,SET500493,2026-08-06,73672.5,NEFT-83487621,CREDITED
BANK900494,SET500494,2026-08-09,8399.7,NEFT-96695458,CREDITED
BANK900495,SET500495,2026-08-08,4941.0,NEFT-34341456,CREDITED
BANK900496,SET500496,2026-08-20,736.73,NEFT-19041276,CREDITED
BANK900497,,2026-08-09,8349.55,NEFT-97976094,CREDITED
BANK900498,SET500498,2026-08-12,2455.75,NEFT-70484679,CREDITED
BANK900499,SET500499,2026-08-21,8349.55,NEFT-32634412,CREDITED
BANK900500,SET500500,2026-08-10,98080.0,NEFT-28026223,CREDITED
