payment_id,scenario,expected_status,expected_reason
PAY100353,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100354,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100355,MISSING_BANK_CREDIT,EXCEPTION,Settlement exists but no bank credit exists.
PAY100356,DUPLICATE,EXCEPTION,Duplicate payment record.
PAY100357,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100358,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100359,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100360,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100361,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100362,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100363,SETTLEMENT_DELAY,EXCEPTION,Settlement occurred outside the configured settlement window.
PAY100364,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100365,NOISY_REFERENCE,MATCH,Reference formatting differs but records should match after normalization.
PAY100366,PARTIAL_SETTLEMENT,EXCEPTION,Settlement amount is materially lower than expected net amount.
PAY100367,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100368,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100369,FEE_TAX_DIFFERENCE,EXCEPTION,Settlement is lower than expected net after configured fee and tax.
PAY100370,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100371,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100372,FEE_TAX_DIFFERENCE,EXCEPTION,Settlement is lower than expected net after configured fee and tax.
PAY100373,MISSING_SETTLEMENT,EXCEPTION,No settlement record exists for successful payment.
PAY100374,MISSING_BANK_CREDIT,EXCEPTION,Settlement exists but no bank credit exists.
PAY100375,MISSING_SETTLEMENT,EXCEPTION,No settlement record exists for successful payment.
PAY100376,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100377,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100378,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100379,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100380,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100381,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100382,AMOUNT_MISMATCH,EXCEPTION,Settlement amount differs from expected net without a valid adjustment.
PAY100383,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100384,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100385,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100386,MISSING_SETTLEMENT,EXCEPTION,No settlement record exists for successful payment.
PAY100387,SETTLEMENT_DELAY,EXCEPTION,Settlement occurred outside the configured settlement window.
PAY100388,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100389,MISSING_SETTLEMENT,EXCEPTION,No settlement record exists for successful payment.
PAY100390,AMBIGUOUS_UNRESOLVED,UNRESOLVED,Insufficient evidence to uniquely resolve the transaction.
PAY100391,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100392,SETTLEMENT_DELAY,EXCEPTION,Settlement occurred outside the configured settlement window.
PAY100393,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100394,MISSING_BANK_CREDIT,EXCEPTION,Settlement exists but no bank credit exists.
PAY100395,NOISY_REFERENCE,MATCH,Reference formatting differs but records should match after normalization.
PAY100396,PARTIAL_SETTLEMENT,EXCEPTION,Settlement amount is materially lower than expected net amount.
PAY100397,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100398,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100399,DUPLICATE,EXCEPTION,Duplicate payment record.
PAY100400,FEE_TAX_DIFFERENCE,EXCEPTION,Settlement is lower than expected net after configured fee and tax.
PAY100401,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100402,FEE_TAX_DIFFERENCE,EXCEPTION,Settlement is lower than expected net after configured fee and tax.
PAY100403,MISSING_SETTLEMENT,EXCEPTION,No settlement record exists for successful payment.
PAY100404,SETTLEMENT_DELAY,EXCEPTION,Settlement occurred outside the configured settlement window.
PAY100405,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100406,FEE_TAX_DIFFERENCE,EXCEPTION,Settlement is lower than expected net after configured fee and tax.
PAY100407,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100408,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100409,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100410,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100411,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100412,FEE_TAX_DIFFERENCE,EXCEPTION,Settlement is lower than expected net after configured fee and tax.
PAY100413,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100414,PARTIAL_SETTLEMENT,EXCEPTION,Settlement amount is materially lower than expected net amount.
PAY100415,PARTIAL_SETTLEMENT,EXCEPTION,Settlement amount is materially lower than expected net amount.
PAY100416,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100417,AMOUNT_MISMATCH,EXCEPTION,Settlement amount differs from expected net without a valid adjustment.
PAY100418,PARTIAL_SETTLEMENT,EXCEPTION,Settlement amount is materially lower than expected net amount.
PAY100419,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100420,MISSING_BANK_CREDIT,EXCEPTION,Settlement exists but no bank credit exists.
PAY100421,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100422,FEE_TAX_DIFFERENCE,EXCEPTION,Settlement is lower than expected net after configured fee and tax.
PAY100423,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100424,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100425,MISSING_SETTLEMENT,EXCEPTION,No settlement record exists for successful payment.
PAY100426,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100427,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100428,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100429,FEE_TAX_DIFFERENCE,EXCEPTION,Settlement is lower than expected net after configured fee and tax.
PAY100430,FEE_TAX_DIFFERENCE,EXCEPTION,Settlement is lower than expected net after configured fee and tax.
PAY100431,DUPLICATE,EXCEPTION,Duplicate payment record.
PAY100432,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100433,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100434,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100435,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100436,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100437,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100438,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100439,MISSING_SETTLEMENT,EXCEPTION,No settlement record exists for successful payment.
PAY100440,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100441,DUPLICATE,EXCEPTION,Duplicate payment record.
PAY100442,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100443,FEE_TAX_DIFFERENCE,EXCEPTION,Settlement is lower than expected net after configured fee and tax.
PAY100444,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100445,DUPLICATE,EXCEPTION,Duplicate payment record.
PAY100446,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100447,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100448,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100449,AMOUNT_MISMATCH,EXCEPTION,Settlement amount differs from expected net without a valid adjustment.
PAY100450,NOISY_REFERENCE,MATCH,Reference formatting differs but records should match after normalization.
PAY100451,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100452,MISSING_BANK_CREDIT,EXCEPTION,Settlement exists but no bank credit exists.
PAY100453,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100454,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100455,SETTLEMENT_DELAY,EXCEPTION,Settlement occurred outside the configured settlement window.
PAY100456,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100457,AMOUNT_MISMATCH,EXCEPTION,Settlement amount differs from expected net without a valid adjustment.
PAY100458,MISSING_SETTLEMENT,EXCEPTION,No settlement record exists for successful payment.
PAY100459,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100460,DUPLICATE,EXCEPTION,Duplicate payment record.
PAY100461,MISSING_BANK_CREDIT,EXCEPTION,Settlement exists but no bank credit exists.
PAY100462,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100463,PARTIAL_SETTLEMENT,EXCEPTION,Settlement amount is materially lower than expected net amount.
PAY100464,DUPLICATE,EXCEPTION,Duplicate payment record.
PAY100465,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100466,FEE_TAX_DIFFERENCE,EXCEPTION,Settlement is lower than expected net after configured fee and tax.
PAY100467,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100468,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100469,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100470,AMOUNT_MISMATCH,EXCEPTION,Settlement amount differs from expected net without a valid adjustment.
PAY100471,MISSING_SETTLEMENT,EXCEPTION,No settlement record exists for successful payment.
PAY100472,FEE_TAX_DIFFERENCE,EXCEPTION,Settlement is lower than expected net after configured fee and tax.
PAY100473,MISSING_SETTLEMENT,EXCEPTION,No settlement record exists for successful payment.
PAY100474,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100475,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100476,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100477,FEE_TAX_DIFFERENCE,EXCEPTION,Settlement is lower than expected net after configured fee and tax.
PAY100478,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100479,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100480,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100481,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100482,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100483,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100484,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100485,FEE_TAX_DIFFERENCE,EXCEPTION,Settlement is lower than expected net after configured fee and tax.
PAY100486,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100487,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100488,SETTLEMENT_DELAY,EXCEPTION,Settlement occurred outside the configured settlement window.
PAY100489,AMBIGUOUS_UNRESOLVED,UNRESOLVED,Insufficient evidence to uniquely resolve the transaction.
PAY100490,MISSING_SETTLEMENT,EXCEPTION,No settlement record exists for successful payment.
PAY100491,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100492,MISSING_SETTLEMENT,EXCEPTION,No settlement record exists for successful payment.
PAY100493,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100494,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100495,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100496,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100497,MISSING_SETTLEMENT,EXCEPTION,No settlement record exists for successful payment.
PAY100498,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100499,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100500,FEE_TAX_DIFFERENCE,EXCEPTION,Settlement is lower than expected net after configured fee and tax.
